id,title,company,location,experience_required,skills_required,salary_range,description
1,Senior Data Scientist,TechCorp,"San Francisco, CA",2+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning","$120,000 - $180,000","We are looking for a Senior Data Scientist to join our team at TechCorp. This role requires 2+ years of experience in python, machine learning, sql, statistics, deep learning."
2,Full Stack Developer,StartupXYZ,"New York, NY",3+ years,"JavaScript, React, Node.js, Python, Docker, AWS","$80,000 - $140,000","We are looking for a Full Stack Developer to join our team at StartupXYZ. This role requires 3+ years of experience in javascript, react, node.js, python, docker, aws."
3,Product Manager,Enterprise Inc,"Austin, TX",4+ years,"Product Strategy, Agile, User Research, Analytics, SQL","$100,000 - $160,000","We are looking for a Product Manager to join our team at Enterprise Inc. This role requires 4+ years of experience in product strategy, agile, user research, analytics, sql."
4,Digital Marketing Specialist,Innovation Labs,"Seattle, WA",5+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation","$60,000 - $100,000","We are looking for a Digital Marketing Specialist to join our team at Innovation Labs. This role requires 5+ years of experience in digital marketing, seo, google analytics, social media, content creation."
5,Sales Representative,Global Solutions,Remote,6+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building","$50,000 - $90,000","We are looking for a Sales Representative to join our team at Global Solutions. This role requires 6+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building."
6,HR Manager,Digital Dynamics,"Boston, MA",7+ years,"Recruitment, Employee Relations, HRIS, Performance Management, Compliance","$70,000 - $110,000","We are looking for a HR Manager to join our team at Digital Dynamics. This role requires 7+ years of experience in recruitment, employee relations, hris, performance management, compliance."
7,Financial Analyst,Future Systems,"Denver, CO",2+ years,"Financial Analysis, Excel, QuickBooks, Budgeting, Forecasting","$65,000 - $105,000","We are looking for a Financial Analyst to join our team at Future Systems. This role requires 2+ years of experience in financial analysis, excel, quickbooks, budgeting, forecasting."
8,UX Designer,Smart Tech,"Chicago, IL",3+ years,"UI/UX Design, Figma, Adobe Creative Suite, Prototyping, User Research","$75,000 - $125,000","We are looking for a UX Designer to join our team at Smart Tech. This role requires 3+ years of experience in ui/ux design, figma, adobe creative suite, prototyping, user research."
9,DevOps Engineer,TechCorp,"San Francisco, CA",4+ years,"Technical Skills, Problem Solving, Communication, Teamwork","$70,000 - $120,000","We are looking for a DevOps Engineer to join our team at TechCorp. This role requires 4+ years of experience in technical skills, problem solving, communication, teamwork."
10,Data Analyst,StartupXYZ,"New York, NY",5+ years,"Technical Skills, Problem Solving, Communication, Teamwork","$70,000 - $120,000","We are looking for a Data Analyst to join our team at StartupXYZ. This role requires 5+ years of experience in technical skills, problem solving, communication, teamwork."
11,Senior Data Scientist,Enterprise Inc,"Austin, TX",6+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning","$120,000 - $180,000","We are looking for a Senior Data Scientist to join our team at Enterprise Inc. This role requires 6+ years of experience in python, machine learning, sql, statistics, deep learning."
12,Full Stack Developer,Innovation Labs,"Seattle, WA",7+ years,"JavaScript, React, Node.js, Python, Docker, AWS","$80,000 - $140,000","We are looking for a Full Stack Developer to join our team at Innovation Labs. This role requires 7+ years of experience in javascript, react, node.js, python, docker, aws."
13,Product Manager,Global Solutions,Remote,2+ years,"Product Strategy, Agile, User Research, Analytics, SQL","$100,000 - $160,000","We are looking for a Product Manager to join our team at Global Solutions. This role requires 2+ years of experience in product strategy, agile, user research, analytics, sql."
14,Digital Marketing Specialist,Digital Dynamics,"Boston, MA",3+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation","$60,000 - $100,000","We are looking for a Digital Marketing Specialist to join our team at Digital Dynamics. This role requires 3+ years of experience in digital marketing, seo, google analytics, social media, content creation."
15,Sales Representative,Future Systems,"Denver, CO",4+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building","$50,000 - $90,000","We are looking for a Sales Representative to join our team at Future Systems. This role requires 4+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building."
16,HR Manager,Smart Tech,"Chicago, IL",5+ years,"Recruitment, Employee Relations, HRIS, Performance Management, Compliance","$70,000 - $110,000","We are looking for a HR Manager to join our team at Smart Tech. This role requires 5+ years of experience in recruitment, employee relations, hris, performance management, compliance."
17,Financial Analyst,TechCorp,"San Francisco, CA",6+ years,"Financial Analysis, Excel, QuickBooks, Budgeting, Forecasting","$65,000 - $105,000","We are looking for a Financial Analyst to join our team at TechCorp. This role requires 6+ years of experience in financial analysis, excel, quickbooks, budgeting, forecasting."
18,UX Designer,StartupXYZ,"New York, NY",7+ years,"UI/UX Design, Figma, Adobe Creative Suite, Prototyping, User Research","$75,000 - $125,000","We are looking for a UX Designer to join our team at StartupXYZ. This role requires 7+ years of experience in ui/ux design, figma, adobe creative suite, prototyping, user research."
19,DevOps Engineer,Enterprise Inc,"Austin, TX",2+ years,"Technical Skills, Problem Solving, Communication, Teamwork","$70,000 - $120,000","We are looking for a DevOps Engineer to join our team at Enterprise Inc. This role requires 2+ years of experience in technical skills, problem solving, communication, teamwork."
20,Data Analyst,Innovation Labs,"Seattle, WA",3+ years,"Technical Skills, Problem Solving, Communication, Teamwork","$70,000 - $120,000","We are looking for a Data Analyst to join our team at Innovation Labs. This role requires 3+ years of experience in technical skills, problem solving, communication, teamwork."
21,Senior Data Scientist,Global Solutions,Remote,4+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning","$120,000 - $180,000","We are looking for a Senior Data Scientist to join our team at Global Solutions. This role requires 4+ years of experience in python, machine learning, sql, statistics, deep learning."
22,Full Stack Developer,Digital Dynamics,"Boston, MA",5+ years,"JavaScript, React, Node.js, Python, Docker, AWS","$80,000 - $140,000","We are looking for a Full Stack Developer to join our team at Digital Dynamics. This role requires 5+ years of experience in javascript, react, node.js, python, docker, aws."
23,Product Manager,Future Systems,"Denver, CO",6+ years,"Product Strategy, Agile, User Research, Analytics, SQL","$100,000 - $160,000","We are looking for a Product Manager to join our team at Future Systems. This role requires 6+ years of experience in product strategy, agile, user research, analytics, sql."
24,Digital Marketing Specialist,Smart Tech,"Chicago, IL",7+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation","$60,000 - $100,000","We are looking for a Digital Marketing Specialist to join our team at Smart Tech. This role requires 7+ years of experience in digital marketing, seo, google analytics, social media, content creation."
25,Sales Representative,TechCorp,"San Francisco, CA",2+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building","$50,000 - $90,000","We are looking for a Sales Representative to join our team at TechCorp. This role requires 2+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building."
