id,title,company,location,experience_required,skills_required,salary_range,description,job_type,posted_date,application_deadline
1,Senior Data Scientist,TechCorp,"San Francisco, CA",2+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning, Pandas, NumPy, Scikit-learn","$120,000 - $180,000","We are looking for a Senior Data Scientist to join our data science team at TechCorp. This role requires 2+ years of experience in python, machine learning, sql, statistics, deep learning, pandas, numpy, scikit-learn. You will be responsible for developing machine learning models, analyzing data, and providing insights to stakeholders.",Full-time,2024-01-15,2024-02-15
2,Full Stack Developer,StartupXYZ,"New York, NY",3+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a Full Stack Developer at StartupXYZ. This role requires 3+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
3,Product Manager,Enterprise Inc,"Austin, TX",4+ years,"Product Strategy, Agile, User Research, Analytics, SQL, A/B Testing, Roadmapping","$100,000 - $160,000","We need a Product Manager to lead our product development at Enterprise Inc. This role requires 4+ years of experience in product strategy, agile, user research, analytics, sql, a/b testing, roadmapping. You will be responsible for product strategy, user research, and working with engineering teams to deliver great products.",Full-time,2024-01-15,2024-02-15
4,Digital Marketing Specialist,Innovation Labs,"Seattle, WA",5+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation, Email Marketing","$60,000 - $100,000","Join our marketing team as a Digital Marketing Specialist at Innovation Labs. This role requires 5+ years of experience in digital marketing, seo, google analytics, social media, content creation, email marketing. You will be developing marketing strategies, creating content, and analyzing campaign performance.",Full-time,2024-01-15,2024-02-15
5,Sales Representative,Global Solutions,Remote,6+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building, Sales Strategy","$50,000 - $90,000","We are looking for a Sales Representative to join our sales team at Global Solutions. This role requires 6+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building, sales strategy. You will be responsible for generating leads, building relationships, and closing deals.",Full-time,2024-01-15,2024-02-15
6,HR Manager,Digital Dynamics,"Boston, MA",7+ years,"Recruitment, Employee Relations, HRIS, Performance Management, Compliance, Training","$70,000 - $110,000","Join our HR team as a HR Manager at Digital Dynamics. This role requires 7+ years of experience in recruitment, employee relations, hris, performance management, compliance, training. You will be responsible for recruitment, employee relations, and HR operations.",Full-time,2024-01-15,2024-02-15
7,Financial Analyst,Future Systems,"Denver, CO",2+ years,"Financial Analysis, Excel, SQL, Budgeting, Forecasting, Financial Modeling","$65,000 - $105,000","We need a Financial Analyst to join our finance team at Future Systems. This role requires 2+ years of experience in financial analysis, excel, sql, budgeting, forecasting, financial modeling. You will be analyzing financial data, creating reports, and providing insights to management.",Full-time,2024-01-15,2024-02-15
8,UX Designer,Smart Tech,"Chicago, IL",3+ years,"UI/UX Design, Figma, Adobe Creative Suite, Prototyping, User Research, Wireframing","$75,000 - $125,000","Join our design team as a UX Designer at Smart Tech. This role requires 3+ years of experience in ui/ux design, figma, adobe creative suite, prototyping, user research, wireframing. You will be creating user-centered designs, conducting research, and collaborating with product teams.",Full-time,2024-01-15,2024-02-15
9,DevOps Engineer,DataFlow,"Los Angeles, CA",4+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a DevOps Engineer at DataFlow. This role requires 4+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
10,Data Analyst,CloudNine,"San Francisco, CA",5+ years,"Technical Skills, Problem Solving, Communication, Teamwork, Project Management","$70,000 - $120,000","We are looking for a Data Analyst to join our team at CloudNine. This role requires 5+ years of experience in technical skills, problem solving, communication, teamwork, project management. You will be working on exciting projects and contributing to our company's success.",Full-time,2024-01-15,2024-02-15
11,Frontend Developer,NextGen,"New York, NY",6+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a Frontend Developer at NextGen. This role requires 6+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
12,Backend Developer,InnovateHub,"Austin, TX",7+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a Backend Developer at InnovateHub. This role requires 7+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
13,Machine Learning Engineer,TechCorp,"Seattle, WA",2+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning, Pandas, NumPy, Scikit-learn","$120,000 - $180,000","We are looking for a Machine Learning Engineer to join our data science team at TechCorp. This role requires 2+ years of experience in python, machine learning, sql, statistics, deep learning, pandas, numpy, scikit-learn. You will be responsible for developing machine learning models, analyzing data, and providing insights to stakeholders.",Full-time,2024-01-15,2024-02-15
14,Business Analyst,StartupXYZ,Remote,3+ years,"Financial Analysis, Excel, SQL, Budgeting, Forecasting, Financial Modeling","$65,000 - $105,000","We need a Business Analyst to join our finance team at StartupXYZ. This role requires 3+ years of experience in financial analysis, excel, sql, budgeting, forecasting, financial modeling. You will be analyzing financial data, creating reports, and providing insights to management.",Full-time,2024-01-15,2024-02-15
15,Content Strategist,Enterprise Inc,"Boston, MA",4+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation, Email Marketing","$60,000 - $100,000","Join our marketing team as a Content Strategist at Enterprise Inc. This role requires 4+ years of experience in digital marketing, seo, google analytics, social media, content creation, email marketing. You will be developing marketing strategies, creating content, and analyzing campaign performance.",Full-time,2024-01-15,2024-02-15
16,Customer Success Manager,Innovation Labs,"Denver, CO",5+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building, Sales Strategy","$50,000 - $90,000","We are looking for a Customer Success Manager to join our sales team at Innovation Labs. This role requires 5+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building, sales strategy. You will be responsible for generating leads, building relationships, and closing deals.",Full-time,2024-01-15,2024-02-15
17,Senior Data Scientist,Global Solutions,"Chicago, IL",6+ years,"Python, Machine Learning, SQL, Statistics, Deep Learning, Pandas, NumPy, Scikit-learn","$120,000 - $180,000","We are looking for a Senior Data Scientist to join our data science team at Global Solutions. This role requires 6+ years of experience in python, machine learning, sql, statistics, deep learning, pandas, numpy, scikit-learn. You will be responsible for developing machine learning models, analyzing data, and providing insights to stakeholders.",Full-time,2024-01-15,2024-02-15
18,Full Stack Developer,Digital Dynamics,"Los Angeles, CA",7+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a Full Stack Developer at Digital Dynamics. This role requires 7+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
19,Product Manager,Future Systems,"San Francisco, CA",2+ years,"Product Strategy, Agile, User Research, Analytics, SQL, A/B Testing, Roadmapping","$100,000 - $160,000","We need a Product Manager to lead our product development at Future Systems. This role requires 2+ years of experience in product strategy, agile, user research, analytics, sql, a/b testing, roadmapping. You will be responsible for product strategy, user research, and working with engineering teams to deliver great products.",Full-time,2024-01-15,2024-02-15
20,Digital Marketing Specialist,Smart Tech,"New York, NY",3+ years,"Digital Marketing, SEO, Google Analytics, Social Media, Content Creation, Email Marketing","$60,000 - $100,000","Join our marketing team as a Digital Marketing Specialist at Smart Tech. This role requires 3+ years of experience in digital marketing, seo, google analytics, social media, content creation, email marketing. You will be developing marketing strategies, creating content, and analyzing campaign performance.",Full-time,2024-01-15,2024-02-15
21,Sales Representative,DataFlow,"Austin, TX",4+ years,"B2B Sales, CRM, Lead Generation, Negotiation, Relationship Building, Sales Strategy","$50,000 - $90,000","We are looking for a Sales Representative to join our sales team at DataFlow. This role requires 4+ years of experience in b2b sales, crm, lead generation, negotiation, relationship building, sales strategy. You will be responsible for generating leads, building relationships, and closing deals.",Full-time,2024-01-15,2024-02-15
22,HR Manager,CloudNine,"Seattle, WA",5+ years,"Recruitment, Employee Relations, HRIS, Performance Management, Compliance, Training","$70,000 - $110,000","Join our HR team as a HR Manager at CloudNine. This role requires 5+ years of experience in recruitment, employee relations, hris, performance management, compliance, training. You will be responsible for recruitment, employee relations, and HR operations.",Full-time,2024-01-15,2024-02-15
23,Financial Analyst,NextGen,Remote,6+ years,"Financial Analysis, Excel, SQL, Budgeting, Forecasting, Financial Modeling","$65,000 - $105,000","We need a Financial Analyst to join our finance team at NextGen. This role requires 6+ years of experience in financial analysis, excel, sql, budgeting, forecasting, financial modeling. You will be analyzing financial data, creating reports, and providing insights to management.",Full-time,2024-01-15,2024-02-15
24,UX Designer,InnovateHub,"Boston, MA",7+ years,"UI/UX Design, Figma, Adobe Creative Suite, Prototyping, User Research, Wireframing","$75,000 - $125,000","Join our design team as a UX Designer at InnovateHub. This role requires 7+ years of experience in ui/ux design, figma, adobe creative suite, prototyping, user research, wireframing. You will be creating user-centered designs, conducting research, and collaborating with product teams.",Full-time,2024-01-15,2024-02-15
25,DevOps Engineer,TechCorp,"Denver, CO",2+ years,"JavaScript, React, Node.js, Python, Docker, AWS, Git, Agile","$80,000 - $140,000","Join our engineering team as a DevOps Engineer at TechCorp. This role requires 2+ years of experience in javascript, react, node.js, python, docker, aws, git, agile. You will be building scalable applications, collaborating with cross-functional teams, and contributing to our technical architecture.",Full-time,2024-01-15,2024-02-15
